"Appointment_ID","Appointment_Date","Appointment_Time"
"0",NULL,NULL
"1","2019-10-19","08:00:00"
"2","2019-10-20","09:00:00"
"3","2019-10-21","10:00:00"
"4","2019-10-22","11:00:00"
"5","2019-10-23","12:00:00"
"6","2019-10-24","08:00:00"
"7","2019-10-25","09:00:00"
"8","2019-10-26","10:00:00"
"9","2019-10-27","11:00:00"
"10","2019-10-28","12:00:00"
"11","2019-10-29","08:00:00"
"12","2019-10-30","09:00:00"
"13","2019-10-31","10:00:00"
"14","2019-11-01","11:00:00"
"15","2019-11-02","12:00:00"
"16","2019-11-03","08:00:00"
"17","2019-11-04","09:00:00"
"18","2019-11-05","10:00:00"
"19","2019-11-06","11:00:00"
"20","2019-11-07","12:00:00"
"21","2019-11-08","08:00:00"
"22","2019-11-09","09:00:00"
"23","2019-11-10","10:00:00"
"24","2019-11-11","11:00:00"
"25","2019-11-12","12:00:00"
"26","2019-11-13","08:00:00"
"27","2019-11-14","09:00:00"
"28","2019-11-15","10:00:00"
"29","2019-11-16","11:00:00"
"30","2019-11-17","12:00:00"
"33","2019-04-11","08:00:00"
"34","2019-04-11","08:00:00"
"35","2019-04-11","08:00:00"
"36","2019-04-11","08:00:00"
"37","2019-04-11","08:00:00"
"38","2019-04-11","08:00:00"
"39","2019-04-11","08:00:00"
"40","2019-05-11","08:00:00"
"41","2019-11-05","08:00:00"
"42","2019-11-05","08:00:00"
"43","2019-11-05","08:00:00"
"44","2019-11-05","08:00:00"
"45","2019-11-05","08:00:00"
"46","2019-11-05","08:00:00"
"47","2019-11-05","08:00:00"
"48","11/05/2019","8:00 PM"
"49","11/05/2019","8:00 PM"
"50","11/05/2019","8:00 PM"
"51","2019/11/05","08:00:00"
"52","2019/11/05","08:00:00"
"53","11/05/2019","08:00:00"
"54","11/05/2019","8:00 AM"
